                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3818,                 3.8938,                 1.3148,                0.02319,                0.88077,                0.31499,                0.18807,                0.81936,                 3.5273,                0.93969,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.1238,                  3.105,                 1.1737,                0.64898,                0.53371,                0.56627,                0.40354,                 0.9619,                 2.5585,                0.98044,             0.00063396,             0.00063396,             0.00063396
                      3,                 1.1291,                 2.2523,                 1.1141,                0.77853,                0.48818,                0.67026,                0.46518,                 1.1521,                 2.3976,                 1.0752,             0.00094423,             0.00094423,             0.00094423
                      4,                 1.1021,                 1.7027,                 1.0881,                0.71452,                 0.7239,                0.86948,                0.56727,                 1.3318,                 1.6647,                 1.1179,              0.0012452,              0.0012452,              0.0012452
                      5,                  1.052,                 1.3199,                 1.0817,                0.91218,                0.83299,                0.89384,                0.64379,                 1.0648,                0.98738,                  1.049,              0.0013482,              0.0013482,              0.0013482
                      6,                0.99086,                  1.153,                 1.0582,                0.78913,                0.82822,                0.85047,                0.62558,                0.94272,                 1.0063,                 1.0407,              0.0013482,              0.0013482,              0.0013482
                      7,                0.93351,                 1.0479,                 1.0526,                0.89978,                0.86237,                0.89073,                0.69157,                0.90411,                 0.8417,                 1.0303,              0.0013279,              0.0013279,              0.0013279
                      8,                0.89055,                0.93535,                 1.0376,                0.91793,                0.79895,                0.83928,                0.66719,                0.89121,                0.88719,                 1.0258,              0.0013077,              0.0013077,              0.0013077
                      9,                0.87747,                0.88098,                 1.0319,                0.94196,                0.84095,                 0.8795,                0.67783,                0.89471,                0.77727,                 1.0143,              0.0012875,              0.0012875,              0.0012875
                     10,                0.87676,                0.87278,                 1.0241,                0.96664,                0.85947,                0.88696,                0.72258,                0.84896,                0.72852,                 1.0013,              0.0012673,              0.0012673,              0.0012673
                     11,                0.85225,                0.79727,                 1.0231,                0.92491,                0.83833,                 0.8783,                0.71988,                0.81407,                0.77892,                 1.0009,              0.0012471,              0.0012471,              0.0012471
                     12,                0.85787,                0.78898,                 1.0339,                0.92393,                 0.8613,                0.89526,                0.76258,                0.75437,                0.70601,                0.97865,              0.0012269,              0.0012269,              0.0012269
                     13,                0.82657,                0.73546,                 1.0187,                0.98602,                0.86763,                0.89453,                0.76436,                0.74364,                0.68338,                0.96992,              0.0012067,              0.0012067,              0.0012067
                     14,                0.80516,                0.72222,                 1.0049,                0.93716,                0.84462,                0.89229,                0.75606,                0.73542,                0.72367,                0.97628,              0.0011865,              0.0011865,              0.0011865
                     15,                0.79751,                0.70178,                  1.007,                0.89846,                0.77152,                0.86567,                0.71441,                0.78688,                0.86026,                0.96859,              0.0011663,              0.0011663,              0.0011663
                     16,                0.76645,                0.68008,                0.99613,                0.95932,                0.84499,                0.88696,                 0.7288,                0.73621,                0.68475,                 0.9446,              0.0011461,              0.0011461,              0.0011461
                     17,                0.78011,                 0.6872,                0.99923,                0.95429,                0.85553,                0.88486,                0.73436,                0.71498,                0.67272,                0.95631,              0.0011258,              0.0011258,              0.0011258
                     18,                0.77689,                0.69797,                0.99352,                0.97633,                0.87553,                0.91247,                0.77574,                0.68698,                0.66093,                0.96165,              0.0011056,              0.0011056,              0.0011056
                     19,                0.74039,                0.64255,                0.98647,                0.98482,                 0.8716,                 0.9068,                0.77222,                0.68295,                0.64429,                 0.9501,              0.0010854,              0.0010854,              0.0010854
                     20,                0.73521,                0.62204,                0.99746,                 0.9642,                0.87843,                0.90736,                0.76647,                0.71399,                0.65348,                0.96281,              0.0010652,              0.0010652,              0.0010652
                     21,                 0.7402,                0.64334,                0.98302,                0.95623,                0.87388,                0.90978,                0.73071,                0.82417,                0.69254,                0.99773,               0.001045,               0.001045,               0.001045
                     22,                0.77285,                0.63126,                   1.01,                0.96819,                0.87036,                0.90864,                0.71866,                0.86375,                0.64492,                 1.0223,              0.0010248,              0.0010248,              0.0010248
                     23,                0.80393,                0.62917,                  1.003,                 0.9508,                0.85978,                0.93137,                0.75994,                0.76249,                0.68958,                0.97217,              0.0010046,              0.0010046,              0.0010046
                     24,                0.75059,                0.63871,                 1.0022,                0.96229,                0.86868,                0.89925,                0.75858,                0.72167,                0.65204,                0.95717,             0.00098438,             0.00098438,             0.00098438
                     25,                0.73689,                0.61349,                0.98853,                0.96946,                0.87287,                0.89875,                0.77629,                0.65144,                0.64277,                0.94357,             0.00096417,             0.00096417,             0.00096417
                     26,                 0.7146,                0.59934,                0.97726,                 0.9874,                0.88075,                0.90263,                0.77213,                 0.6549,                0.69865,                0.94081,             0.00094396,             0.00094396,             0.00094396
                     27,                0.72743,                0.61161,                0.98589,                0.96693,                0.87176,                0.91217,                0.78331,                0.65136,                0.58471,                0.94044,             0.00092375,             0.00092375,             0.00092375
                     28,                0.71589,                0.59847,                0.99272,                 0.9903,                0.87843,                0.92009,                 0.7923,                0.66818,                0.55894,                0.94582,             0.00090354,             0.00090354,             0.00090354
                     29,                0.69361,                0.60833,                0.98304,                0.98256,                 0.8826,                0.90395,                 0.7785,                0.67658,                0.56729,                 0.9501,             0.00088333,             0.00088333,             0.00088333
                     30,                  0.683,                0.56703,                0.98113,                0.98887,                 0.8743,                0.91499,                0.79789,                 0.6499,                 0.6856,                0.94767,             0.00086312,             0.00086312,             0.00086312
                     31,                0.69725,                0.59539,                0.98424,                0.98561,                0.88237,                0.91297,                0.79285,                0.63133,                0.66492,                 0.9432,             0.00084291,             0.00084291,             0.00084291
                     32,                0.67496,                0.57393,                0.98042,                0.98502,                0.86891,                0.89616,                 0.7957,                0.60112,                0.59051,                0.92931,              0.0008227,              0.0008227,              0.0008227
                     33,                0.67277,                0.56914,                 0.9798,                0.97576,                0.88048,                0.90639,                0.78144,                0.66751,                0.54758,                0.94402,             0.00080249,             0.00080249,             0.00080249
                     34,                0.67614,                0.57087,                0.97661,                0.99113,                0.88413,                0.91991,                0.78467,                 0.6496,                 0.5803,                0.93461,             0.00078228,             0.00078228,             0.00078228
                     35,                0.67179,                 0.5441,                0.98572,                0.97222,                0.88453,                0.90772,                0.78589,                0.65721,                 0.6391,                0.93806,             0.00076207,             0.00076207,             0.00076207
                     36,                0.67287,                0.54688,                0.98206,                0.97479,                0.87495,                0.90465,                0.76142,                0.73906,                 0.6994,                0.98206,             0.00074186,             0.00074186,             0.00074186
                     37,                0.68978,                0.56834,                 0.9818,                 0.9788,                 0.8874,                0.90208,                0.78593,                0.65873,                0.65658,                 0.9475,             0.00072164,             0.00072164,             0.00072164
                     38,                0.67456,                0.54979,                0.98055,                0.98663,                0.87875,                0.89825,                0.77294,                  0.664,                0.57348,                0.95382,             0.00070143,             0.00070143,             0.00070143
                     39,                0.68024,                0.55514,                0.97601,                0.98919,                0.87888,                0.89874,                0.78334,                0.64787,                0.56469,                0.94478,             0.00068122,             0.00068122,             0.00068122
                     40,                0.67099,                0.54089,                0.96505,                0.98444,                0.87341,                0.91202,                0.79213,                0.61615,                0.58572,                0.93802,             0.00066101,             0.00066101,             0.00066101
                     41,                0.65167,                0.54233,                0.97479,                0.98661,                0.87731,                0.90927,                0.78911,                0.62758,                0.58605,                0.94244,              0.0006408,              0.0006408,              0.0006408
                     42,                0.67563,                0.54091,                0.97267,                 0.9758,                 0.8743,                0.90588,                  0.791,                0.62755,                0.54601,                0.94313,             0.00062059,             0.00062059,             0.00062059
                     43,                0.66073,                 0.5333,                0.97624,                 0.9876,                0.87822,                0.91041,                0.79364,                0.63296,                0.57158,                0.93812,             0.00060038,             0.00060038,             0.00060038
                     44,                0.67076,                  0.569,                0.97875,                0.97898,                 0.8739,                0.90727,                0.77943,                0.62649,                0.56625,                0.93225,             0.00058017,             0.00058017,             0.00058017
                     45,                0.66323,                0.56373,                0.96737,                0.99419,                 0.8813,                    0.9,                0.78872,                0.62535,                0.55189,                0.93454,             0.00055996,             0.00055996,             0.00055996
                     46,                 0.6668,                0.52285,                0.97409,                0.98539,                0.88004,                0.91023,                0.79666,                 0.6057,                0.58086,                0.93621,             0.00053975,             0.00053975,             0.00053975
                     47,                0.64941,                 0.5298,                0.96592,                0.99417,                0.88197,                0.90775,                 0.8038,                0.58575,                0.47995,                0.91958,             0.00051954,             0.00051954,             0.00051954
                     48,                 0.6485,                0.51822,                0.97268,                0.99746,                0.88075,                0.90918,                0.80123,                0.60356,                0.46901,                0.92278,             0.00049933,             0.00049933,             0.00049933
                     49,                 0.6468,                0.50839,                 0.9729,                0.99004,                0.88214,                0.90713,                0.80959,                0.56645,                0.52772,                0.91857,             0.00047912,             0.00047912,             0.00047912
                     50,                0.64239,                0.52417,                0.97183,                0.98988,                0.88294,                0.90765,                 0.8078,                0.58085,                0.51441,                 0.9253,             0.00045891,             0.00045891,             0.00045891
                     51,                0.63915,                0.52576,                0.96891,                0.98631,                0.88545,                 0.9057,                0.80796,                0.57581,                0.52611,                 0.9191,              0.0004387,              0.0004387,              0.0004387
                     52,                  0.629,                 0.5056,                0.97032,                0.99418,                0.87978,                 0.9102,                0.80349,                0.60635,                0.54165,                0.93002,             0.00041849,             0.00041849,             0.00041849
                     53,                0.63278,                0.51752,                0.96331,                0.99459,                0.88869,                0.91178,                 0.8004,                0.60499,                0.55239,                0.93159,             0.00039828,             0.00039828,             0.00039828
                     54,                0.60986,                0.48873,                0.95566,                0.98268,                0.88149,                0.91107,                0.81049,                 0.5653,                0.55876,                0.91357,             0.00037807,             0.00037807,             0.00037807
                     55,                0.61183,                0.49713,                0.96043,                0.99673,                0.88562,                 0.9069,                0.79705,                0.59171,                 0.5126,                0.92911,             0.00035786,             0.00035786,             0.00035786
                     56,                0.62481,                0.51112,                0.96596,                0.98781,                0.88378,                0.90488,                0.80266,                0.57911,                0.55068,                0.92771,             0.00033765,             0.00033765,             0.00033765
                     57,                0.62213,                0.51261,                0.96151,                0.99571,                0.88373,                0.90339,                0.80289,                0.57362,                 0.5091,                0.92504,             0.00031744,             0.00031744,             0.00031744
                     58,                0.64394,                0.51106,                0.97067,                 0.9956,                0.88331,                0.90886,                0.80278,                0.57793,                0.52193,                0.91845,             0.00029723,             0.00029723,             0.00029723
                     59,                0.62468,                0.48581,                0.96592,                0.99244,                0.88331,                 0.9048,                0.80432,                0.58972,                0.53593,                0.92523,             0.00027702,             0.00027702,             0.00027702
                     60,                0.60765,                0.47756,                0.96261,                0.99643,                0.88413,                0.90452,                0.80117,                0.60403,                0.58094,                0.93391,             0.00025681,             0.00025681,             0.00025681
                     61,                0.53101,                0.63544,                0.96111,                0.99763,                0.88331,                0.90873,                0.81121,                0.58235,                0.48691,                0.91713,              0.0002366,              0.0002366,              0.0002366
                     62,                0.50663,                 0.5149,                0.95621,                0.99782,                0.88276,                0.89635,                0.79214,                0.61052,                0.55696,                0.92677,             0.00021639,             0.00021639,             0.00021639
                     63,                0.47141,                0.44412,                0.93625,                0.99027,                0.88303,                 0.9045,                 0.8145,                 0.5437,                0.59075,                0.89778,             0.00019618,             0.00019618,             0.00019618
                     64,                0.45435,                 0.4424,                0.91884,                0.98957,                0.88331,                0.90692,                0.81205,                0.55175,                0.53877,                0.89907,             0.00017597,             0.00017597,             0.00017597
                     65,                0.45987,                0.40907,                0.93181,                0.98949,                0.88331,                0.90757,                0.81412,                0.53577,                 0.5368,                0.89969,             0.00015576,             0.00015576,             0.00015576
                     66,                0.45929,                0.39193,                0.92538,                0.99454,                0.88331,                0.90462,                0.80892,                0.55207,                0.54028,                0.90742,             0.00013555,             0.00013555,             0.00013555
                     67,                0.44309,                0.37765,                0.91063,                0.99398,                0.88198,                 0.9063,                0.81056,                0.54765,                0.52086,                0.90517,             0.00011534,             0.00011534,             0.00011534
                     68,                0.44864,                0.37956,                0.90887,                0.98842,                0.88238,                0.90846,                0.81808,                0.53215,                0.51514,                0.90143,             9.5131e-05,             9.5131e-05,             9.5131e-05
                     69,                0.42187,                0.36616,                0.92252,                0.99133,                0.88229,                0.90747,                0.81644,                0.52621,                0.50728,                0.89909,              7.492e-05,              7.492e-05,              7.492e-05
                     70,                0.42613,                0.36743,                0.91664,                0.99428,                0.88331,                0.90335,                0.81117,                0.53324,                 0.4987,                0.89911,              5.471e-05,              5.471e-05,              5.471e-05
